id,name
1,中判サイズ
2,フルサイズ
3,APS-C
4,4/3型
5,1型
6,1/2.3型
7,1/3.1型
8,1/1.7型
9,1.5型
10,1/10型
11,1/5型
12,CMOSx2
13,CMOS
14,CCD
15,不明
